zip_code,lat,lon,city,state,county,type,state_full
75567,33.310990,-94.311710,MAUD,TX,BOWIE,STANDARD,Texas
75568,33.193210,-94.587280,NAPLES,TX,MORRIS,STANDARD,Texas
75569,33.441822,-94.128585,NASH,TX,BOWIE,STANDARD,Texas
75570,33.459358,-94.439045,NEW BOSTON,TX,BOWIE,STANDARD,Texas
75571,33.207021,-94.773629,OMAHA,TX,MORRIS,STANDARD,Texas
75572,33.225892,-94.127698,QUEEN CITY,TX,CASS,STANDARD,Texas
75573,33.348136,-94.229044,REDWATER,TX,BOWIE,PO BOX ONLY,Texas
75574,33.325005,-94.550657,SIMMS,TX,BOWIE,STANDARD,Texas
75599,33.440002,-94.070003,TEXARKANA,TX,BOWIE,UNIQUE,Texas
75601,32.508559,-94.724048,LONGVIEW,TX,GREGG,STANDARD,Texas
75602,32.449597,-94.666046,LONGVIEW,TX,GREGG,STANDARD,Texas
75603,32.396207,-94.700630,LONGVIEW,TX,GREGG,STANDARD,Texas
75604,32.509163,-94.824418,LONGVIEW,TX,GREGG,STANDARD,Texas
75605,32.582243,-94.725530,LONGVIEW,TX,GREGG,STANDARD,Texas
75606,32.510000,-94.760002,LONGVIEW,TX,GREGG,STANDARD,Texas
75607,32.510000,-94.760002,LONGVIEW,TX,GREGG,STANDARD,Texas
75608,32.510000,-94.760002,LONGVIEW,TX,GREGG,STANDARD,Texas
75615,32.510000,-94.760002,LONGVIEW,TX,GREGG,STANDARD,Texas
75630,32.867553,-94.549489,AVINGER,TX,CASS,STANDARD,Texas
75631,32.249319,-94.453218,BECKVILLE,TX,PANOLA,STANDARD,Texas
75633,32.138495,-94.274157,CARTHAGE,TX,PANOLA,STANDARD,Texas
75636,33.029999,-94.809999,CASON,TX,MORRIS,PO BOX ONLY,Texas
75637,32.079998,-94.489998,CLAYTON,TX,PANOLA,PO BOX ONLY,Texas
75638,33.020474,-94.729697,DAINGERFIELD,TX,MORRIS,STANDARD,Texas
75639,32.293824,-94.169676,DE BERRY,TX,PANOLA,STANDARD,Texas
75640,32.708417,-94.683183,DIANA,TX,UPSHUR,STANDARD,Texas
75641,32.378409,-94.575785,EASTON,TX,GREGG,PO BOX ONLY,Texas
75642,32.371535,-94.176602,ELYSIAN FIELDS,TX,HARRISON,PO BOX ONLY,Texas
75643,32.019370,-94.361905,GARY,TX,PANOLA,STANDARD,Texas
75644,32.791212,-94.999844,GILMER,TX,UPSHUR,STANDARD,Texas
75645,32.688691,-94.871840,GILMER,TX,UPSHUR,STANDARD,Texas
75647,32.514634,-94.953290,GLADEWATER,TX,GREGG,STANDARD,Texas
75650,32.513278,-94.548847,HALLSVILLE,TX,HARRISON,STANDARD,Texas
75651,32.664406,-94.538192,HARLETON,TX,HARRISON,STANDARD,Texas
75652,32.239408,-94.728331,HENDERSON,TX,RUSK,STANDARD,Texas
75653,32.150001,-94.790001,HENDERSON,TX,RUSK,STANDARD,Texas
75654,32.077772,-94.830128,HENDERSON,TX,RUSK,STANDARD,Texas
75656,33.011305,-94.572158,HUGHES SPRINGS,TX,CASS,STANDARD,Texas
75657,32.794972,-94.310303,JEFFERSON,TX,MARION,STANDARD,Texas
75658,32.170000,-94.900001,JOINERVILLE,TX,RUSK,PO BOX ONLY,Texas
75659,32.490001,-94.110001,JONESVILLE,TX,HARRISON,PO BOX ONLY,Texas
75660,32.589998,-94.760002,JUDSON,TX,GREGG,PO BOX ONLY,Texas
75661,32.631318,-94.171261,KARNACK,TX,HARRISON,STANDARD,Texas
75662,32.384457,-94.870166,KILGORE,TX,GREGG,STANDARD,Texas
